protein1,protein2,symbol1,symbol2,coexpression_both_prior_corrected,experiments_both_prior_corrected,textmining_both_prior_corrected,combined_score
9606.ENSP00000216968,9606.ENSP00000376197,PROCR,TFRC,0.017726798748696537,0.0,0.21961636697942,190
9606.ENSP00000216968,9606.ENSP00000287097,PROCR,CD109,0.023983315954118845,0.0,0.13020275508573076,158
9606.ENSP00000216968,9606.ENSP00000275493,PROCR,EGFR,0.0031282586027111536,0.0,0.15537017726798752,192
9606.ENSP00000216968,9606.ENSP00000257770,PROCR,NT5E,0.06360792492179357,0.0,0.2653017731148083,333
9606.ENSP00000216968,9606.ENSP00000309124,PROCR,OLR1,0.0,0.0,0.11782781203482506,76
9606.ENSP00000216968,9606.ENSP00000261023,PROCR,ITGAV,0.016684045881126153,0.0,0.16571071926026515,179
9606.ENSP00000216968,9606.ENSP00000254958,PROCR,JAG1,0.015641293013555768,0.0,0.11783107403545356,167
9606.ENSP00000216968,9606.ENSP00000398632,PROCR,CD44,0.012513034410844615,0.0,0.3409801876955162,375
9606.ENSP00000216968,9606.ENSP00000357005,PROCR,F11R,0.0,0.0,0.14598540145985406,181
9606.ENSP00000216968,9606.ENSP00000358765,PROCR,TPBG,0.02085505735140769,0.0,0.10111875748221388,87
9606.ENSP00000216968,9606.ENSP00000265371,PROCR,NRP1,0.03441084462982269,0.0,0.14948661546775455,176
9606.ENSP00000216968,9606.ENSP00000379350,PROCR,ITGB1,0.02085505735140769,0.0,0.2565172054223148,301
9606.ENSP00000216968,9606.ENSP00000264832,PROCR,ICAM1,0.0031282586027111536,0.0,0.7090719499478623,721
9606.ENSP00000216968,9606.ENSP00000313875,PROCR,CD46,0.0,0.0,0.4464102226750363,446
9606.ENSP00000216968,9606.ENSP00000493716,PROCR,EFNB2,0.0,0.0,0.12304483837330549,158
9606.ENSP00000216968,9606.ENSP00000296585,PROCR,ITGA2,0.027111574556829998,0.0,0.21584984358706982,268
9606.ENSP00000216968,9606.ENSP00000263735,PROCR,EPCAM,0.002085505735140769,0.0,0.26277372262773724,294
9606.ENSP00000216968,9606.ENSP00000315190,PROCR,ITGA3,0.035453597497393075,0.0,0.10114702815432741,168
9606.ENSP00000216968,9606.ENSP00000260408,PROCR,ADAM10,0.0031282586027111536,0.0,0.12187051814705308,151
9606.ENSP00000216968,9606.ENSP00000351209,PROCR,EPHA2,0.03441084462982269,0.0,0.08693122941541687,130
9606.ENSP00000216968,9606.ENSP00000347379,PROCR,OCLN,0.0,0.0,0.11783107403545356,153
9606.ENSP00000216968,9606.ENSP00000312158,PROCR,BTN2A1,0.0,0.0,0.32437877916364477,347
9606.ENSP00000216968,9606.ENSP00000296129,PROCR,CDCP1,0.03232533889468192,0.0,0.11598913101390584,173
9606.ENSP00000216968,9606.ENSP00000269571,PROCR,ERBB2,0.0,0.0,0.16579770594369136,200
9606.ENSP00000216968,9606.ENSP00000261769,PROCR,CDH1,0.0,0.0,0.1845672575599583,218
9606.ENSP00000219271,9606.ENSP00000398632,MMP15,CD44,0.030239833159541152,0.0,0.5165584588569297,531
9606.ENSP00000219271,9606.ENSP00000267101,MMP15,ERBB3,0.08070298288210809,0.0,0.07274370134861985,118
9606.ENSP00000219271,9606.ENSP00000294304,MMP15,LRP5,0.10010427528675703,0.0,0.05213764337851934,136
9606.ENSP00000219271,9606.ENSP00000315190,MMP15,ITGA3,0.03522743212048518,0.0,0.16096994501354278,213
9606.ENSP00000219271,9606.ENSP00000264832,MMP15,ICAM1,0.03441084462982269,0.0,0.10114702815432741,137
9606.ENSP00000219271,9606.ENSP00000380227,MMP15,ITGA4,0.008342022940563076,0.0,0.1220020855057351,157
9606.ENSP00000219271,9606.ENSP00000367817,MMP15,PODXL,0.04379562043795615,0.0,0.07924921793534934,82
9606.ENSP00000219271,9606.ENSP00000427552,MMP15,DDR1,0.06986444212721588,0.0,0.1470227176597103,197
9606.ENSP00000219271,9606.ENSP00000261769,MMP15,CDH1,0.03232533889468192,0.007299270072992692,0.2789891277519053,324
9606.ENSP00000219271,9606.ENSP00000347379,MMP15,OCLN,0.01147028154327423,0.0,0.10566272435768487,105
9606.ENSP00000219271,9606.ENSP00000261023,MMP15,ITGAV,0.008342022940563076,0.0,0.14494264859228356,179
9606.ENSP00000219271,9606.ENSP00000317128,MMP15,PLXND1,0.017726798748696537,0.0,0.09906152241918664,57
9606.ENSP00000219271,9606.ENSP00000275493,MMP15,EGFR,0.08766735422391025,0.0,0.19333768991639488,238
9606.ENSP00000219271,9606.ENSP00000378577,MMP15,CLDN3,0.06569343065693434,0.0,0.07572843192367795,145
9606.ENSP00000219271,9606.ENSP00000296585,MMP15,ITGA2,0.027111574556829998,0.0,0.19564936102844355,202
9606.ENSP00000219271,9606.ENSP00000278742,MMP15,ST14,0.04131432529322665,0.0,0.12364178448831709,161
9606.ENSP00000219271,9606.ENSP00000379350,MMP15,ITGB1,0.014598540145985384,0.0,0.14966167616814952,159
9606.ENSP00000219271,9606.ENSP00000283249,MMP15,ITGB6,0.03412161390743096,0.0,0.20027705258671213,225
9606.ENSP00000219271,9606.ENSP00000327290,MMP15,ITGA11,0.027111574556829998,0.0,0.19215140902117145,146
9606.ENSP00000219271,9606.ENSP00000308208,MMP15,MMP14,0.03441084462982269,0.0,0.3743482794577686,420
9606.ENSP00000219271,9606.ENSP00000260408,MMP15,ADAM10,0.0,0.0,0.3146623666249493,286
9606.ENSP00000219271,9606.ENSP00000264012,MMP15,CDH3,0.04275286757038588,0.007299270072992692,0.0999596599255611,162
9606.ENSP00000219271,9606.ENSP00000367202,MMP15,RECK,0.0,0.0,0.2385511932941965,246
9606.ENSP00000219271,9606.ENSP00000269571,MMP15,ERBB2,0.08468262364885215,0.0,0.17002960809237122,214
9606.ENSP00000254958,9606.ENSP00000315190,JAG1,ITGA3,0.03617667430337257,0.013555787278414999,0.15537017726798752,207
9606.ENSP00000254958,9606.ENSP00000497069,JAG1,IGF1R,0.009376077139790828,0.05943691345151203,0.553275537931087,565
9606.ENSP00000254958,9606.ENSP00000263735,JAG1,EPCAM,0.015641293013555768,0.0,0.4212721584984359,453
9606.ENSP00000254958,9606.ENSP00000493716,JAG1,EFNB2,0.18175541301820952,0.0,0.5759823243059277,625
9606.ENSP00000254958,9606.ENSP00000380227,JAG1,ITGA4,0.014598540145985384,0.013555787278414999,0.15849843587069867,193
9606.ENSP00000254958,9606.ENSP00000339912,JAG1,FLRT3,0.02085505735140769,0.060479666319082415,0.06764736903339297,96
9606.ENSP00000254958,9606.ENSP00000280904,JAG1,DSC2,0.015641293013555768,0.026068821689259614,0.08949407457585834,138
9606.ENSP00000254958,9606.ENSP00000351605,JAG1,FZD6,0.027111574556829998,0.004171011470281538,0.2217301433866743,243
9606.ENSP00000254958,9606.ENSP00000313875,JAG1,CD46,0.022878585074607383,0.41837985127451804,0.6903023983315953,816
9606.ENSP00000254958,9606.ENSP00000264832,JAG1,ICAM1,0.018720621606839738,0.0,0.3201251303441084,350
9606.ENSP00000254958,9606.ENSP00000267101,JAG1,ERBB3,0.0,0.058394160583941646,0.27450931355546104,270
9606.ENSP00000254958,9606.ENSP00000398632,JAG1,CD44,0.030072383793945945,0.0,0.5601224772502638,574
9606.ENSP00000254958,9606.ENSP00000317272,JAG1,MET,0.027111574556829998,0.060479666319082415,0.3253388946819604,370
9606.ENSP00000254958,9606.ENSP00000257770,JAG1,NT5E,0.027111574556829998,0.0,0.2857523423882846,328
9606.ENSP00000254958,9606.ENSP00000294304,JAG1,LRP5,0.027111574556829998,0.0,0.4231369355243829,432
9606.ENSP00000254958,9606.ENSP00000261769,JAG1,CDH1,0.015641293013555768,0.026068821689259614,0.5535919519920494,577
9606.ENSP00000254958,9606.ENSP00000427552,JAG1,DDR1,0.021897810218978075,0.0,0.20686846852332486,253
9606.ENSP00000254958,9606.ENSP00000442656,JAG1,ACVR1B,0.036165800967944306,0.05943691345151203,0.16684045881126175,216
9606.ENSP00000254958,9606.ENSP00000383053,JAG1,EPHB2,0.021897810218978075,0.05943691345151203,0.33421153639142265,312
9606.ENSP00000254958,9606.ENSP00000263636,JAG1,LY75,0.0,0.06256517205422318,0.06673618352450472,105
9606.ENSP00000254958,9606.ENSP00000347379,JAG1,OCLN,0.014598540145985384,0.0615224191866528,0.17758440154792798,208
9606.ENSP00000254958,9606.ENSP00000351209,JAG1,EPHA2,0.0973718060936346,0.05943691345151203,0.21376433785192905,304
9606.ENSP00000254958,9606.ENSP00000261590,JAG1,DSG2,0.027111574556829998,0.026068821689259614,0.07194994786235664,134
9606.ENSP00000254958,9606.ENSP00000406229,JAG1,FAT1,0.060479666319082415,0.008342022940563076,0.04995210295743846,142
9606.ENSP00000254958,9606.ENSP00000296474,JAG1,MST1R,0.0031282586027111536,0.060479666319082415,0.08356267009974117,112
